id,Category,SubCategory,Item Name, Description , Details ,Part Number,Vendor,Minimum Qty,increments,Maximum Qty,Weight,notes,mediawideid,project id,active,expiry,group options,Product Group,units
158,Miscellaneous,Miscellaneous, 1 Gallon Clear Plastic Pitcher w/ Lid *6 CT , 1 Gallon Clear Plastic Pitcher w/ Lid *6 CT , 1 Gallon Clear Plastic Pitcher w/ Lid *6 CT ,6903063,1,1,1,50000,1, Rubbermaid ,,,Y,,,,6 CT
159,Miscellaneous,Miscellaneous,"15"" Wood Dough Rolling Pin"," 15"" Wood Dough Rolling Pin ", The sturdy design and tapered handles of this rubberwood rolling pin allow for non-slip usage. The quality ball bearing mechanism makes for smooth operation.  ,124WRP5715,1,1,1,50000,13, WSR ,,,Y,,,,1 CT
160,Miscellaneous,Miscellaneous,Huskee 44 Gallon Trash Can with Lid and Dolly, Huskee 44 Gallon Trash Can with Lid and Dolly ," Huskee 44 Gallon Trash Can with Lid and DollyHuskee 44 gallon gray trash can with Continental 4445GY Huskee gray lid and black trash can dolly. It's one-stop shopping, all your needs in one concise collection! 
 ",27444TCGYKIT,1,1,1,50000,20, Continental ,,,Y,,,,1 CT
161,Miscellaneous,Miscellaneous,Janitorial. Mop Bucket/Wringer Combo, Janitorial 36 qt. Mop Bucket/Wringer Combo , This Lavex Janitorial 36 qt. yellow mop bucket with wringer combo makes mopping a breeze with a simple-to-use bucket with wringer that has a heavy duty spring. ,274MOPBCKTYE,1,1,1,50000,11, Lavex ,,,Y,,,,1 CT
162,Miscellaneous,Miscellaneous, Adjustable Tray and Dish Cart with Vinyl Cover Gray , Adjustable Tray and Dish Cart with Vinyl Cover Gray , Adjustable Tray and Dish Cart with Vinyl Cover Gray ,214TDC30GY,1,1,1,50000,1, Cambro ,,,Y,,,,1 CT
163,Miscellaneous,Miscellaneous,8 oz. Ramekin White , 8 oz. Ramekin White *6 CT , 8 oz. Ramekin White *6 CT ,429F1000568,1,1,1,50000,6, Homer Laughlin ,,,Y,,,,6 CT
164,Miscellaneous,Miscellaneous,"27.5""x69.375""  White Board With  Easel Stand"," 27.5""x69.375"" Single Sided White Board With Aluminum Easel Stand "," With a convenient bright porcelain whiteboard, paper holder along its top edge, and 2"" marker and eraser tray, your guests will be able to use a variety of presentation materials to get their message across. T ",445PB3040W,1,1,1,50000,15, Luxor H. Wilson ,,,Y,,,,1 CT
165,Miscellaneous,Miscellaneous,High Chair Dark Wood Finish, High Chair Dark Wood Finish ," This high chair is made of 3/4"" solid hardwood, features radius corners, and fits flush to standard table heights, ensuring your little guests are fully present at mealtime.  ",164HCHRKDBR,1,1,1,50000,14, Lancaster ,,,Y,,,,1 CT
166,Miscellaneous,Miscellaneous, Round Pasta/Salad Bowl Ivory/Eggshell," 32 oz. 9"" Round Pasta/Salad Bowl Ivory/Eggshell "," 32 oz. 9"" Round Pasta/Salad Bowl Ivory/Eggshell ",303BED0945IV,1,1,1,50000,8, Tuxton ,,,Y,,,,12 CT
167,Miscellaneous,Miscellaneous,Pizza Peel Rack, Pizza Peel Rack , Keep your peel clean in between uses and out of the way by resting it on this rack.  ,124WPH45153,1,1,1,50000,1, American Metalcraft ,,,Y,,,,1 CT
168,Miscellaneous,Miscellaneous," White China Coupe Style Pizza Plate 14"" *12 CS "," White China Coupe Style Pizza Plate 14"" *12 CS "," White China Coupe Style Pizza Plate 14"" *12 CS ",303PP2,1,1,1,50000,1, CAC ,,,Y,,,,12 CT
